Hour,Wind Speed
12,2.385822534561157
13,2.4860072135925293
14,2.531675100326538
15,2.536160945892334
16,2.547643184661865
17,2.635276556015014
18,3.080406904220581
19,3.522035360336304
20,3.842902183532715
21,4.097505569458009
22,4.303599834442139
23,4.4083828926086435
0,4.4261908531188965
1,4.420166969299316
2,4.308234691619873
3,4.2125258445739755
4,4.173381328582764
5,4.2086777687072745
6,4.2885494232177725
7,4.086602687835693
8,3.597111701965332
9,3.8924498558044434
10,3.3781108856201167
11,2.7215685844421387
12,2.0618605613708496
13,1.5260814428329468
14,1.1149752140045166
15,0.8321059942245483
16,0.7865985035896301
17,0.9136624336242676
18,1.1680803298950195
19,1.4494074583053589
20,1.8399597406387331
21,2.322041273117065
22,2.77743935585022
23,3.0852279663085938
0,3.2586176395416264
1,3.3764710426330566
2,3.4221649169921875
3,3.502427101135254
4,3.6370866298675537
5,3.7482590675354
6,3.812392950057984
7,3.603644132614136
8,3.1902065277099614
9,3.3450024127960205
10,2.872666120529175
11,2.471440076828003
12,2.18066930770874
13,2.101204633712769
14,2.338883638381958
15,2.7245936393737797
16,3.106495857238769
17,3.433879137039185
18,3.8191115856170654
19,4.2425265312194815
20,4.349905014038087
21,4.2298545837402335
22,3.9427409172058105
23,3.572169065475464
0,3.18231463432312
1,2.8289918899536133
2,2.479354858398437
3,2.218937397003174
4,2.0757093429565434
5,1.9226269721984863
6,1.8258687257766724
7,1.8406437635421755
8,1.7378381490707395
9,1.9753530025482176
10,2.2347426414489746
11,2.309544324874878
12,2.2194786071777344
13,2.085565090179444
14,2.033367395401001
15,2.0598621368408203
16,2.116323232650757
17,2.3153064250946045
18,2.7901015281677246
19,3.2608747482299805
20,3.3718574047088623
21,3.159497737884521
22,3.0122404098510738
23,3.01877498626709
0,2.984333038330078
1,2.922703504562378
2,2.968630313873291
3,3.0424180030822754
4,3.115950107574463
5,3.2363593578338623
6,3.4775643348693848
7,3.594569444656372
8,2.9913446903228764
9,2.6470515727996826
10,2.6145553588867188
11,2.179412364959717
12,1.6648186445236206
13,1.0348602533340454
14,0.4942532479763031
15,0.8879148960113525
16,1.3221395015716553
17,1.5148621797561646
18,1.2967050075531006
19,1.0625295639038086
20,1.1459881067276
21,1.5615006685256958
22,1.882882595062256
23,2.1726925373077397
0,2.4023680686950684
1,2.425008773803711
2,2.2259197235107417
3,1.982626676559448
4,1.8378745317459104
5,1.7584034204483032
6,1.7319167852401731
7,1.7521427869796753
8,1.5444785356521606
9,1.7117780447006226
10,2.021913766860962
11,2.23824405670166
12,2.457096099853516
13,2.743314027786255
14,3.086585283279419
15,3.3934805393218994
16,3.6091327667236333
17,3.672507524490357
18,3.631769418716431
19,3.709068298339844
20,3.5998435020446777
21,3.653714656829834
22,4.104057312011719
23,4.630466938018799
0,4.809116840362549
1,4.658634662628174
2,4.267756462097168
3,4.058854103088379
4,4.066422462463379
5,4.178786754608153
6,4.2678303718566895
7,4.0904150009155265
8,4.668971061706543
9,5.049929141998291
10,5.177477836608887
11,5.246849060058594
12,5.353841781616211
13,5.498265743255615
14,5.52777910232544
15,5.421401500701903
16,5.265754699707031
17,4.962440013885498
18,4.3256750106811515
19,4.09314489364624
20,3.89878249168396
21,3.7156906127929688
22,3.5668399333953857
23,3.5024259090423584
0,3.555821180343628
1,3.7070910930633545
2,3.802159070968628
